"MNUMMER","SIG","AUTOR","TITEL","UTITEL","BAND","VERLAG","EJAHR","SZAHL","ISBN","ZWST","STANDORT","ZUDATUM","PREIS","LDATUM","GRUPPE1","GRUPPE2","ZULETZT","LALTER","MCODE","KCODE","LSTAT","LFREQ","SWORT","ETATNR","LFREQ2"
97840989,S/U,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten; ein Kinderroman",Sonderausg / 142 S  / Ill,Reinbek bei Hamburg : Rowohlt,1992,0,3499207133,,,03/24/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97840997,S/U,"Naumann, Rosa",Der Gehilfe des Mumienmachers,historischer Jugendroman,EUR 9.90 / Orig.-Ausg / 236 S,Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl,2007,0,3499213907,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841004,S/U,"Nöstlinger, Christine",Olfi Obermeier und der Ödipus,eine Familiengeschichte,[Nachdr. / 174 S.  / 20 cm,Zürich: Trans Tech Publications Ltd,2001,174,3789120685,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841020,S/U,"Nöstlinger, Christine / Stemm, Antje von",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten ; ein Kinderroman",42. Aufl / 151 S  / Ill,Reinbek bei Hamburg : Rowohlt,2009,0,3-499-20153-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841039,S/U,"Nöstlinger, Christine / Nöstlinger, Christiana",Das Austauschkind,,9. Aufl / 142 S.  / Ill.,Wien : Jugend und Volk,1992,142,3224112107,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841063,S/U,"Morpurgo, Michael / Hergane, Yvonne",Das schlafende Schwert,"Kèonig Artus, Excalibur und ich",kart. : EUR 5.95 / kart. : EUR 5.95 / 111 S,Wèurzburg: Arena,2006,0,3-401-02379-9,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841128,S/U,"Nordin, Karin / Rukschcio, Gertrud / Eriksson, Henry",Irini,bei uns in Griechenland,1. [Aufl. / 63 S.  / zahlr. Ill,Ravensburg : O. Maier,1976,63,3473396427,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841136,S/U,"Zöller, Elisabeth","Ski heil, Chaosfamilie",,"DM 14.80, EUR 7.57, sfr 13.00, S 108.00 / 125 S  / 21 cm",Stuttgart ;Wien ;Bern : Thienemann,2000,0,3-522-17380-5,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841152,S/U,"Oelker, Petra",Der Sommer des Kometen,ein historischer Kriminalroman,"EUR 8.50 / Orig.-Ausg., 10. Aufl. April 2004 / 333 S  / Kt",Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl.,2004,0,3-499-22256-6,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841160,S/U,"Bruckner, Karl",Sadako will leben,,,Würzburg: Arena Verlag,,0,,,,04/07/2011,0,11/14/2013,0,,002046,0,1,0,0,0,FALSE,0,1
97841195,S/Märchen,Holle Verlag,Es war einmal Märchen der Völker,,,,,0,,,,04/07/2011,0,12/18/2014,0,,008508,0,1,0,0,0,FALSE,0,3
97841209,S/U,"Noack, Hans-Georg",Trip,,8. [Aufl. / 245 S  / Ill,[Ravensburg] : Ravensburger Buchverl.,2004,0,3-473-58002-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841241,S/U,"Newton, Suzanne",Georgie's Blues,,DM 34.80 / 239 S,Kevelaer : Anrich,1993,0,3891061692,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841268,S/U,"Nöstlinger, Christine","""Pfui Spinne!""",Roman,"5. Aufl., 24.-28. Tsd / 144 S",[Weinheim] : Beltz und Gelberg,1991,0,3407806272,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841276,S/U,"Buss, Fran Leeper / Cubias, Daisy",Ein fremdes Land,Roman,"DM 22.00, sfr 23.20, S 172.00 / 2. Aufl., 9.-11. Tsd / 202 S",Weinheim : Beltz und Gelberg,1994,0,3-407-79629-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841292,S/U,"Nöstlinger, Christine","Maikäfer, flieg!","Mein Vater, das Kriegsende, Cohn und ich ; Roman",[Nachdr. / 220 S,Weinheim [u.a.] : Beltz & Gelberg,2008,0,3-407-78475-9,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841306,S/U,"Norton, Norbert",Die Leuchturmbande,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841314,S/U,"Nöstlinger, Christine",Der liebe Herr Teufel,,DM 5.80 / 85. - 91. Tsd / 93 S,Reinbek bei Hamburg : Rowohlt,1989,0,3-499-20167-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841330,S/U,"Nesbit, Edith / Schönfeldt, Sybil Gräfin / Gschwind, Haidrun",Die Kinder von Arden,,DM 16.80 / 267 S  / Ill,Hamburg : Dressler,1980,0,3791514350,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841349,S/U,"Nöstlinger, Christine","Maikäfer, flieg!","Mein Vater, das Kriegsende, Cohn und ich","2. Aufl., 11. - 20. Tsd / 175 S",Weinheim [u.a.] : Beltz & Gelberg,1974,0,3407802242,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841373,S/U,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten; ein Kinderroman",Sonderausg / 142 S  / Ill,Reinbek bei Hamburg : Rowohlt,1992,0,3-499-20713-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841381,S/U,"Nicklisch, Hans",Vater unser bestes Stück,,Sonderausg. / 206 S.  / Ill,Berlin : Blanvalet,1973,206,3764542152,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841411,S/U,"O'Dell, Scott / Plancherel-Walter, Roswitha",Insel der blauen Delphine,,,"Hamburg: Oetinger, Friedrich,",1994,0,3789115681,,,04/07/2011,0,10/31/2014,0,,008524,0,1,0,0,0,FALSE,0,2
97841438,S/U,"O´Dell, Scott",Vor dem Richter des Königs,,,,,0,378911555X,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841454,S/U,"O´Dell, Scott",Vor dem Richter des Königs,,,,,0,378911555X,,,04/07/2011,0,02/19/2020,0,,011150,0,1,0,0,1,FALSE,0,1
97841462,S/U,"Orwell, George / Walter, Michael",Farm der Tiere,ein Märchen,[Nachdr. / 132 S,Zürich : Diogenes,[200,0,3-257-20118-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841470,S/U,"Ôrl¯ev, Ûrî","Lydia, Königin von Palästina",Roman,DM 12.90 / Lizenzausg / 237 S,Weinheim : Beltz und Gelberg,1997,0,3-407-78251-9,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841489,S/U,"Orwell, George",1984,Roman,"Ungekürzte Ausg., 1202. - 1252. Tsd / 280 S",Frankfurt/M. [u.a.] : Ullstein,1984,0,3548032532,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841497,S/U,"Ossowski, Leonie",Stern ohne Himmel,Roman,DM 7.80 / 48. - 54. Tsd / 174 S,Frankfurt am Main : Fischer-Taschenbuch-Verl.,1988,0,3596275466,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841519,S/U,"Ossowski, Leonie",Littel faßt einen Entschluß und andere Erzählungen,,102 S.  / 21 cm,Weinheim [u.a.] : Beltz & Gelberg,1983,102,3407806345,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841543,S/U,"Ossowski, Leonie",Stern ohne Himmel,Roman,DM 7.80 / 48. - 54. Tsd / 174 S,Frankfurt am Main : Fischer-Taschenbuch-Verl.,1988,0,3596275466,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841578,S/U,"Nilsson, Per / Kicherer, Birgitta",So lonely,,"DM 10.50 / Ungekürzte Ausg., 4. Aufl / 174 S",München : Dt. Taschenbuch-Verl.,2001,0,3-423-78134-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841586,S/U,"Prince, Alison",Liebe Liz,,"DM 19.80, EUR 10.12 / 120 S  / 21 cm",Stuttgart : Urachhaus,2001,0,3-8251-7305-4,,,04/07/2011,0,01/09/2013,0,,005622,0,1,0,0,0,FALSE,0,4
97841594,S/U,"Pressler, Mirjam",Novemberkatzen,Kinderroman,2. Aufl / 200 S,Weinheim [u.a.] : Beltz u. Gelberg,1986,0,3407805888,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841608,S/U,"Pausewang, Gudrun",Kinderbesuch,Roman,"DM 7.80 / Ungekürzte Ausg., 6. Aufl / 162 S",München : Dt. Taschenbuch-Verl.,1990,0,342310676X,,,04/07/2011,0,11/18/2016,0,,003298,0,1,0,0,0,FALSE,0,1
97841616,S/U,"Pausewang, Gudrun",Die Not der Familie Caldera,,DM 8.80 / 183 S  / Ill,Hamburg : Verlag Erziehung u. Wiss.,1979,0,3810303224,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841624,S/U,"Procházka, Jan",Lenka,,,,,0,,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841632,S/U,"Preußler, Otfried",Der Räuber Hotzenplotz,eine Kasperlgeschichte,[Nachdr. / 124 S.  / zahlr. Ill.,Stuttgart [u.a.] : Thienemann,2009,124,3522105907,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841640,S/U,"Petrick, Nina",Herz los,Roman,DM 22.00 / 154 S,"Weinheim: Beltz, Julius,",1998,0,3407808518,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841659,S/U,"Peck, Richard",Lost in cyberspace,,80 S / Ill,Egmont: Aschehoug,2005,0,9788723905031,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841667,S/U,"Pyle, Howard",Robin Hood,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841675,S/U,"Pressler, Mirjam",Novemberkatzen,Kinderroman,2. Aufl / 200 S,Weinheim [u.a.] : Beltz u. Gelberg,1986,0,3407805888,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841683,S/U,"Pressler, Mirjam",Die Zeit der schlafenden Hunde,Roman,EUR 14.90 / 269 S,Weinheim [u.a.] : Beltz & Gelberg,2003,0,3-407-80912-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841721,S/U,"Pratchett, Terry",Wühler,,EUR 9.00 (DE / Ungekürzte Taschenbuchausg / 444 S,München: Econ Ullstein List Verlag,2005,0,3492285201,,,04/07/2011,0,09/09/2011,0,,001740,0,1,0,0,0,FALSE,0,1
97841756,S/U,"Plate, Herbert",Spuren im Wolfsgrund,,,,,0,350508221X,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841772,S/U,"Piechota, Ulrike",Wenn die mauern kleiner werden,,,,,0,3770905415,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841780,S/U,"Pohl, Peter / Kicherer, Birgitta",Nennen wir ihn Anna,,2. Aufl / 352 S,Ravensburg : Maier,1991,0,3-473-35116-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841799,S/U,"Philipps, Carolin / Schmid, Heike / Scholbeck, Sabine",Fledermäuse beissen nicht,,"2 Teile (Materialien 52 S., Buch 137 S. / Ill",Garching b. Mèunchen: Hase und Igel,2008,2,3-86760-090-2,,,04/07/2011,0,02/26/2019,0,,007927,0,1,0,0,0,FALSE,0,2
97841802,S/U,"Pestum, Jo",Büffelmädchen,,160 S  / Ill,Braunschweig : Schroedel,2006,0,3-507-47018-7,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841829,S/U,"Pfeiffer, Otti",Einer zuviel im Klassenbuch,,138 S  / 20 cm,Hamburg : Dressler,1982,0,3791516426,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841845,S/U,"Pressler, Mirjam",Malka Mai,Roman,6. [Nachdr. / 324 S,Weinheim [u.a.] : Beltz & Gelberg,2009,0,3-407-78594-1,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841918,S/U,"Pennac, Daniel / Hyman, Miles",Der Hund und das Mädchen,,231 S.  / Ill,Frankfurt am Main : Fischer-Taschenbuch-Verl.,1998,231,3-596-80270-9,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841934,S/U,"Paulsen, Gary",Im Winterzimmer,,"DM 10.90, S 80.00 / 133 S",Frankfurt am Main : Fischer-Taschenbuch-Verl.,1999,0,3-596-80224-5,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841942,S/U,"Pausewang, Gudrun",Die Wolke,,[13. Aufl. / 157 S,Ravensburg : Maier,1989,0,3473350869,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841969,S/U,"Pausewang, Gudrun",Die letzten Kinder von Schewenborn,Erzählung,Nachdr / 187 S.,Ravensburg : Ravensburger Buchverl. Maier,2006,187,3-473-58007-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841977,S/U,"Pauls, Wolfgang",Scotland Yard - Die Tote Ratte im Kanal,,126 S.,Ravensburg : Maier,1990,126,3-473-34614-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841985,S/U,"Pestum, Jo",Die Gazelle,,"Überarb. Neuaufl., 1. [Dr.] / 158 S",Stuttgart {[u.a.] : Thienemann,1997,0,3-522-17087-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841993,S/U,"Ruck-Pauquèt, Gina","In jedem Wald ist eine Maus, die Geige spielt",das grosse Buch der Kindergeschichten,125 S.  / Ill,Recklinghausen : Bitter,1990,125,3790301299,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842043,S/U,"Grèone, Wolfgang / Brandstetter, Johann",Andromache von Athen,,kart. : EUR 4.40 / Originalausg / 110 S / Ill,Garching b. Mèunchen: Hase und Igel,2009,0,3-86760-100-3,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842078,S/U,"Pausewang, Gudrun",Guadalupe,,,München: Deutscher Taschenbuch Verlag,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842086,S/U,"Nöstlinger, Christine",Einen Vater hab ich auch,Roman,186 S,Weinheim [u.a.] : Beltz & Gelberg,1994,0,3-407-79652-8,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842140,S/U,"Pressler, Mirjam",Leselöwen-Geburtstagsgeschichten,,DM 10.80 / 1. Aufl / 58 S.  / zahlr. Ill.,Bindlach : Loewe,1994,58,3-7855-2630-X,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842167,S/U,Bertelsmann,Lexikon der Superlative,,,München: ORBIS Verlag für Publizistik,,0,3572012740,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842175,S/U,"Engasser, Quirin",Grosse Männer der Weltgeschichte,tausend Biographien in Wort und Bild,DM 14.95 / Neuaufl / 512 S  / Ill,Klagenfurt : Kaiser,1997,0,3704330655,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842191,S/U,Putzger,Historischer Atlas,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842205,S/U,"Bagusch, Johannes",Illustrierte Weltgeschichte,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842248,S/U,Duden,Bauernhof,,"EUR 5.00, EUR 5.20 (AT / [32] S",Mannheim : Bibliogr. Inst.,2006,0,3-411-71162-0,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842256,S/U,"Ossowski, Leonie",Die grosse Flatter,Roman,"DM 9.80 / Ungekürzte Ausg., 251. - 270. Tsd / 187 S",Frankfurt am Main : Fischer-Taschenbuch-Verl.,1990,0,3596224748,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842264,S/U,"Wallraff, Günter","13 unerwünschte Reportagen + Anhang Verbotene Aufrüstung, Giftgas für die Bundeswehr",,DM 7.80 / 240. - 244. Tsd / 199 S.,Reinbek bei Hamburg : Rowohlt,1987,199,3499168898,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842272,S/U,"Wallraff, Günther",Ganz unten,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842299,S/U,"Prinz, Friedrich",Ludwig II.,ein königliches Doppelleben,1. Aufl / 92 S  / Ill,Berlin : Siedler,1993,0,3886804372,,,04/08/2011,0,12/11/2019,0,,003921,0,1,0,0,1,FALSE,0,1
97842302,S/U,Heyne Verlag,Das grosse Rätsel Lexikon von A-Z,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842310,S/U,"Melville, Herman",Moby Dick,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842329,S/U,"Defoe, Daniel",Robinson Crusoe,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/08/2011,0,05/09/2014,0,,003239,0,1,0,0,0,FALSE,0,1
97842337,S/U,"Twain, Mark",Die Abenteuer von Tom Sawyer,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842345,S/U,"Swift, Jonathan",Gullivers Reisen,,,,,0,,,,04/08/2011,0,08/28/2012,0,,000299,0,1,0,0,0,FALSE,0,1
97842353,S/U,"Pyle, Howard",Robin Hood,,,,,0,,,,04/08/2011,0,11/08/2011,0,,002380,0,1,0,0,0,FALSE,0,1
97842361,S/U,"Dumas, Alexandre",Die Drei Musketiere,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842426,S/U,"Ahrens-Kramer, Renate / Kehr, Karoline",Katzenleiter Nr. 3,,159 S  / Ill,Stuttgart [u.a.] : Thienemann,1998,0,3-522-17145-4,,,04/08/2011,0,04/06/2016,0,,000523,0,1,0,0,0,FALSE,0,3
97842434,S/U,"Ahrens, Renate / Völkers, Sabine",Rettet die Geparde!,ein deutsch-englischer Kinderkrimi ; [Deutsch - Englisch],EUR 5.95 / EUR 5.95 / 125 S.  / Ill.,Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl.,2008,125,3-499-21432-6,,,04/08/2011,0,04/14/2016,0,,003514,0,1,0,0,0,FALSE,0,6
97842442,S/U,"Ahrens, Renate / Lieffering, Jan",Marie - help me!,eine deutsch-englische Freundschaftsgeschichte,EUR 5.90 / Orig.-Ausg / 117 S.  / Ill.,Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl.,2007,117,3-499-21376-1,,,04/08/2011,0,05/05/2014,0,,003271,0,1,0,0,0,FALSE,0,2
97842493,S/U,"Ackermann, Michael","""Unter den Kreuzen von Eisen""",Glaube und Literatur in KZ und Exil ; eine Anthologie,332 S,Wuppertal [u.a.] : Brockhaus,1989,0,3-417-20437-2,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842558,S/U,"Aiken, Joan / Ullrich, Ingeborg / Artl, Inge M.",Der flüsternde Berg,,"2. Aufl., 16. - 20. Tsd, ungekürzte Ausgabe / 253 S  / Ill",München : Dt. Taschenbuch Verl.,1982,0,3423073853,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842566,S/U,"Aichinger, Ilse",Hörspiele,,"DM 10.80 / Orig.-Ausg., 195. - 196. Tsd / 203 S",Frankfurt am Main : Fischer-Taschenbuch-Verl.,1988,0,3596270103,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842574,S/U,"Allfrey, Katherine",Delphinensommer,,191 S  / Ill,Hamburg : Oetinger,1994,0,3789115533,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842590,S/U,"Allende, Isabell",Das Geisterhaus,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842604,S/U,"Alexander, Lloyd",Taran und das Zauberschwein,,,,,0,3-401-01801-9,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842612,S/U,"Aiken, Joan / Brender, Irmela / Reichel, Anja",Verräter des Lichts,,99 S  / Ill,Hamburg : Oetinger,1999,0,3-7891-3010-9,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842620,S/U,"Aiken, Joan / Brender, Irmela",Isa und die Schmugglerbande,,259 S,Hamburg : Oetinger,1996,0,3-7891-3008-7,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842639,S/U,"Assen, Klaas van",Dani,,DM 14.80 / 1. Aufl / 115 S  / Ill,Bindlach : Loewe,1993,0,3-7855-2564-8,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842655,S/Märchen,"Anderesen, Hans Christian",Gesammelte Märchen,,,,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842663,S/U,"Andersen, Hans Christian / Blühm, Eva-Maria",Die Galoschen des Glücks,Märchen und Geschichten,M 5.00 / 2. Aufl / 461 S,Berlin ;Weimar : Aufbau-Verl.,1990,0,3351009119,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842671,S/U,"Appel, René",Ein schrecklicher Verdacht,,"DM 24.80, EUR 12.90 (ab 1.1.2002 / 197 S",Zürich : Nagel und Kimche,2001,0,3312009170,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842701,S/U,"Bach, Richard",Die Möve Jonathan,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842728,S/U,"Banks, Lynne Reid",Moses in Ägypten,,genehmigte Taschenbuchausg,München : Goldmann,1999,0,3-442-44431-4,,,04/08/2011,0,06/02/2022,0,,013161,0,1,0,1,1,FALSE,0,1
97842744,S/U,"Barrie, James M.",Peter Pan,,219 S  / Ill,Hamburg : Dressler,1996,0,3791535072,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842752,S/U,"Barron, T.A.",Das Geheimnis von Halami,,,Zürich: Trans Tech Publications Ltd,,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842779,S/U,"Bartos-Höppner, Barbara / Hölle, Erich / Höppner, Barbara Bartos",Kosaken gegen Kutschum-Khan,das Abenteuer einer Eroberung,"DM 9.80 / 345 S.  / Ill., Kt.",Bindlach : Loewe,1985,345,3785520115,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842795,S/U,"Barz, Paul",Der wahre Schimmelreiter,die Geschichte einer Landschaft und ihres Dichters Theodor Storm,255 S  / Ill,Hamburg : Kabel,1982,0,3921909562,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842817,S/U,"Bayer, Ingeborg",Zeit für die Hora,Roman,"DM 28.00 / 4. Aufl., 20. - 24. Tsd / 416 S.  / 1 Kt.",Würzburg : Arena-Verl.,1989,416,3401042602,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842825,S/U,"Bayer, Ingeborg",Zeit für die Hora,Roman,"DM 16.90, S 123.00, sfr 16.00 / 1. Aufl / 377 S  / Kt",Würzburg : Arena,1998,0,3-401-02582-1,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842868,S/U,"Bechstein, Ludwig",Ludwig Bechsdteins Märchenbuch,,,,,0,,,,04/08/2011,0,01/22/2013,0,,006394,0,1,0,0,0,FALSE,0,1
97842876,S/Märchen,"Bechstein, Ludwig",Die schönsten Märchen Band 1,zwei Bände im Schuber,"DM 19.80, S 160.00 / Neubearb. unter Verwendung der Ausg. von 1845, 1856 und 1857 / Ill",Moewig,1991,0,3-8118-1086-3,,,04/08/2011,0,12/18/2014,0,,008508,0,1,0,0,0,FALSE,0,3
97842930,S/U,"Berliner, Franz",Frostmond über dem Fjord,Roman,DM 10.90 / 139 S,Weinheim : Beltz und Gelberg,1999,0,3407783388,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842949,S/U,"Beyerlein, Gabriele / Treuber, Kathrin",Der Schatz von Atlantis,,"EUR 6.90, EUR AT 7.10, CHF 12.40 / 220 S  / Ill",Hamburg : Carlsen,2004,0,3-551-35318-2,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842957,S/U,"Bieniek, Christian",Oberschnüffler Oswald jagt den Weihnachtsmann,,"DM 19.90, EUR 10.17 / 165 S",München : Ars-Ed.,1999,0,3-7607-3796-X,,,04/08/2011,0,06/07/2011,0,,000248,0,1,0,0,0,FALSE,0,1
97842973,S/U,"Block, Francesca Lia / Höfker, Ursula",Engel in der Stadt,,"EUR 7,90 / Dt. Erstausg., 1. Aufl / 127 S",[Würzburg] : Arena-Verl.,2002,0,3-401-02628-3,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97842981,S/U,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten; ein Kinderroman",Sonderausg / 142 S  / Ill,Reinbek bei Hamburg : Rowohlt,1992,0,3-499-20713-3,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97843015,S/U,"Blobel, Brigitte",Der andere Sohn,,,"München: Ullstein-Taschenbuch-Verlag, Zweigniederlassung der",,0,,,,04/08/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97843090,S/U,"Blyton, Enid",Fünf Freunde beim Wanderzirkus,,"fest geb. : 15,00 / Neubearb., [Nachaufl. / 187 S.  / Ill",München : Bertelsmann,1997,187,3570033155,,,04/08/2011,0,11/08/2013,0,,000094,0,1,0,0,0,FALSE,0,3
97843104,S/U,"Blyton, Enid / Lincke, Werner",Fünf Freunde auf der Felseninsel,,"Neubearb., 52. Aufl / 186 S  / Ill",München : Cbj,[200,0,3570033163,,,04/08/2011,0,05/08/2012,0,,001821,0,1,0,0,0,FALSE,0,1
97843112,S/U,"Blyton, Enid / Lincke, Werner",Fünf Freunde im Zeltlager,,"Neubearb., 56. Aufl / 186 S  / Ill",München : Cbj,[200,0,3570033171,,,04/08/2011,0,05/08/2012,0,,001821,0,1,0,0,0,FALSE,0,1
97843120,S/U,"Blyton, Enid",Fünf Freunde geraten in Schwierigkeiten,,"fest geb. : 15,00 / Neubearb / 186 S.  / Ill",München : Bertelsmann,1997,186,357003318X,,,04/08/2011,0,05/08/2012,0,,001821,0,1,0,0,0,FALSE,0,1
97843139,S/U,"Blyton, Enid",Fünf Freunde im Alten Turm,,56. Aufl / 187 S  / Ill,München : Cbj,[200,0,3570033228,,,04/08/2011,0,01/09/2019,0,,008133,0,1,0,0,0,FALSE,0,2
